-DOCSTART- -X- -X- O
Fischler JJR B-NP B-PER
proposed VBN I-NP O
EU-wide NNP I-NP B-MISC
measures VBZ B-VP O
after IN B-PP O
reports NNS B-NP O
from IN B-PP O
Britain NNP B-NP B-LOC
and CC I-NP O
France NNP I-NP B-LOC
that WDT B-NP O
under IN B-PP O
laboratory NN B-NP O
conditions NNS B-NP O
sheep NN I-NP O
could MD B-VP O
contract VB I-VP O
Bovine NNP B-NP B-MISC
Spongiform NNP I-NP I-MISC
Encephalopathy NNP I-NP I-MISC
( ( O O
BSE NNP B-NP B-MISC
) ) O O
-- : O O
mad JJ B-NP O
cow NN I-NP O
disease NN I-NP O
. . O O

But CC O O
Fischler NNP B-NP B-PER
agreed VBD B-VP O
to TO I-VP O
review VB I-VP O
his PRP$ B-NP O
proposal NN I-NP O
after IN B-PP O
the DT B-NP O
EU NNP I-NP B-ORG
's POS B-NP O
standing NN I-NP O
veterinary JJ I-NP O
committee NN I-NP O
, , O O
mational JJ B-NP O
animal NN I-NP O
health NN I-NP O
officials NNS I-NP O
, , O O
questioned VBD B-VP O
if IN B-SBAR O
such JJ B-NP O
action NN I-NP O
was VBD B-VP O
justified VBN I-VP O
as IN B-PP O
there RB B-ADVP O
was VBD B-VP O
only RB B-ADVP O
a DT B-NP O
slight JJ I-NP O
risk NN I-NP O
to TO B-PP O
human JJ B-NP O
health NN I-NP O
. . O O

Spanish NNP B-NP B-MISC
Farm NNP I-NP O
Minister NNP I-NP O
Loyola NNP I-NP B-PER
de NNP I-NP I-PER
Palacio NNP I-NP I-PER
had VBD B-VP O
earlier RBR I-VP O
accused VBN I-VP O
Fischler NNP B-NP B-PER
at IN B-PP O
an DT B-NP O
EU JJ I-NP B-ORG
farm NN I-NP O
ministers NNS I-NP O
' POS B-NP O
meeting NN I-NP O
of IN B-PP O
causing VBG B-VP O
unjustified JJ B-ADJP O
alarm NN B-NP O
through IN B-PP O
" " O O
dangerous JJ B-NP O
generalisation NN I-NP O
. . O O
" " O O

. . O O

Only RB B-NP O
France NNP I-NP B-LOC
and CC I-NP O
Britain NNP I-NP B-LOC
backed VBD B-VP O
Fischler NNP B-NP B-PER
's POS B-NP O
proposal NN I-NP O
. . O O

The DT B-NP O
EU NNP I-NP B-ORG
's POS B-NP O
scientific JJ I-NP O
veterinary JJ I-NP O
and CC I-NP O
multidisciplinary JJ I-NP O
committees NNS I-NP O
are VBP B-VP O
due JJ B-ADJP O
to TO B-VP O
re-examine VB I-VP O
the DT B-NP O
issue NN I-NP O
early RB B-NP O
next JJ I-NP O
month NN I-NP O
and CC O O
make VB B-VP O
recommendations NNS B-NP O
to TO B-PP O
the DT B-NP O
senior JJ I-NP O
veterinary JJ I-NP O
officials NNS I-NP O
. . O O

Sheep NNP B-NP O
have VBP B-VP O
long RB I-VP O
been VBN I-VP O
known VBN I-VP O
to TO B-PP O
contract NN B-NP O
scrapie NN I-NP O
, , O O
a DT B-NP O
brain-wasting JJ I-NP O
disease NN I-NP O
similar JJ B-ADJP O
to TO B-PP O
BSE NNP B-NP B-MISC
which WDT B-NP O
is VBZ B-VP O
believed VBN I-VP O
to TO I-VP O
have VB I-VP O
been VBN I-VP O
transferred VBN I-VP O
to TO B-PP O
cattle NNS B-NP O
through IN B-PP O
feed NN B-NP O
containing VBG B-VP O
animal NN B-NP O
waste NN I-NP O
. . O O

British JJ B-NP B-MISC
farmers NNS I-NP O
denied VBN B-VP O
on IN B-PP O
Thursday NNP B-NP O
there EX B-NP O
was VBD B-VP O
any DT B-NP O
danger NN I-NP O
to TO B-PP O
human JJ B-NP O
health NN I-NP O
from IN B-PP O
their PRP$ B-NP O
sheep NN I-NP O
, , O O
but CC O O
expressed VBD B-VP O
concern NN B-NP O
that IN B-SBAR O
German JJ B-NP B-MISC
government NN I-NP O
advice NN I-NP O
to TO B-PP O
consumers NNS B-NP O
to TO B-VP O
avoid VB I-VP O
British JJ B-NP B-MISC
lamb NN I-NP O
might MD B-VP O
influence VB I-VP O
consumers NNS B-NP O
across IN B-PP O
Europe NNP B-NP B-LOC
. . O O

" " O O
What WP B-NP O
we PRP B-NP O
have VBP B-VP O
to TO I-VP O
be VB I-VP O
extremely RB B-ADJP O
careful JJ I-ADJP O
of IN B-PP O
is VBZ B-VP O
how WRB B-ADVP O
other JJ B-NP O
countries NNS I-NP O
are VBP B-VP O
going VBG I-VP O
to TO I-VP O
take VB I-VP O
Germany NNP B-NP B-LOC
's POS B-NP O
lead NN I-NP O
, , O O
" " O O
Welsh NNP B-NP B-ORG
National NNP I-NP I-ORG
Farmers NNP I-NP I-ORG
' POS B-NP I-ORG
Union NNP I-NP I-ORG
( ( O O
NFU NNP B-NP B-ORG
) ) O O
chairman NN B-NP O
John NNP I-NP B-PER
Lloyd NNP I-NP I-PER
Jones NNP I-NP I-PER
said VBD B-VP O
on IN B-PP O
BBC NNP B-NP B-ORG
radio NN I-NP I-ORG
. . O O

Bonn NNP B-NP B-LOC
has VBZ B-VP O
led VBN I-VP O
efforts NNS B-NP O
to TO B-VP O
protect VB I-VP O
public JJ B-NP O
health NN I-NP O
after IN B-PP O
consumer NN B-NP O
confidence NN I-NP O
collapsed VBD B-VP O
in IN B-PP O
March NNP B-NP O
after IN B-PP O
a DT B-NP O
British JJ I-NP B-MISC
report NN I-NP O
suggested VBD B-VP O
humans NNS B-NP O
could MD B-VP O
contract VB I-VP O
an DT B-NP O
illness NN I-NP O
similar JJ B-ADJP O
to TO I-ADJP O
mad JJ I-ADJP O
cow NN B-NP O
disease NN I-NP O
by IN B-PP O
eating VBG B-VP O
contaminated VBN I-VP O
beef NN B-NP O
. . O O

Germany NNP B-NP B-LOC
imported VBD B-VP O
47,600 CD B-NP O
sheep NN I-NP O
from IN B-PP O
Britain NNP B-NP B-LOC
last JJ B-NP O
year NN I-NP O
, , O O
nearly RB B-NP O
half NN I-NP O
of IN B-PP O
total JJ B-NP O
imports NNS I-NP O
. . O O

It PRP B-NP O
brought VBD B-VP O
in IN B-PP O
4,275 CD B-NP O
tonnes NNS I-NP O
of IN B-PP O
British JJ B-NP B-MISC
mutton NN I-NP O
, , O O
some DT B-NP O
10 CD I-NP O
percent NN I-NP O
of IN B-PP O
overall JJ B-NP O
imports NNS I-NP O
. . O O

-DOCSTART- -X- -X- O

Rare NNP B-NP O
Hendrix NNP I-NP B-PER
song NN I-NP O
draft NN I-NP O
sells VBZ B-VP O
for IN B-PP O
almost RB B-NP O
$ $ I-NP O
17,000 CD I-NP O
. . O O

LONDON NNP B-NP B-LOC
1996-08-22 CD I-NP O

A DT B-NP O
rare JJ I-NP O
early JJ I-NP O
handwritten JJ I-NP O
draft NN I-NP O
of IN B-PP O
a DT B-NP O
song NN I-NP O
by IN B-PP O
U.S. NNP B-NP B-LOC
guitar NN I-NP O
legend NN I-NP O
Jimi NNP I-NP B-PER
Hendrix NNP I-NP I-PER
was VBD B-VP O
sold VBN I-VP O
for IN B-PP O
almost RB B-NP O
$ $ I-NP O
17,000 CD I-NP O
on IN B-PP O
Thursday NNP B-NP O
at IN B-PP O
an DT B-NP O
auction NN I-NP O
of IN B-PP O
some DT B-NP O
of IN B-PP O
the DT B-NP O
late JJ I-NP O
musician NN I-NP O
's POS B-NP O
favourite JJ I-NP O
possessions NNS I-NP O
. . O O

A DT B-NP O
Florida NNP I-NP B-LOC
restaurant NN I-NP O
paid VBD B-VP O
10,925 CD B-NP O
pounds NNS I-NP O
( ( O O
$ $ B-NP O
16,935 CD I-NP O
) ) O O
for IN B-PP O
the DT B-NP O
draft NN I-NP O
of IN B-PP O
" " O O
Ai VBZ B-VP B-MISC
n't RB O I-MISC
no DT B-NP I-MISC
telling VBG B-VP I-MISC
" " O O
, , O O
which WDT B-NP O
Hendrix NNP B-NP B-PER
penned VBN B-VP O
on IN B-PP O
a DT B-NP O
piece NN I-NP O
of IN B-PP O
London NNP B-NP B-LOC
hotel NN I-NP O
stationery NN I-NP O
in IN B-PP O
late JJ B-NP O
1966 CD I-NP O
. . O O

At IN B-PP O
the DT B-NP O
end NN I-NP O
of IN B-PP O
a DT B-NP O
January NNP I-NP O
1967 CD I-NP O
concert NN I-NP O
in IN B-PP O
the DT B-NP O
English JJ I-NP B-MISC
city NN I-NP O
of IN B-PP O
Nottingham NNP B-NP B-LOC
he PRP B-NP O
threw VBD B-VP O
the DT B-NP O
sheet NN I-NP O
of IN B-PP O
paper NN B-NP O
into IN B-PP O
the DT B-NP O
audience NN I-NP O
, , O O
where WRB B-ADVP O
it PRP B-NP O
was VBD B-VP O
retrieved VBN I-VP O
by IN B-PP O
a DT B-NP O
fan NN I-NP O
. . O O

Buyers NNS B-NP O
also RB B-ADVP O
snapped VBD B-VP O
up RB B-ADVP O
16 CD B-NP O
other JJ I-NP O
items NNS I-NP O
that WDT B-NP O
were VBD B-VP O
put VBN I-VP O
up RP B-PRT O
for IN B-PP O
auction NN B-NP O
by IN B-PP O
Hendrix NNP B-NP B-PER
's POS B-NP O
former JJ I-NP O
girlfriend NN I-NP O
Kathy NNP I-NP B-PER
Etchingham NNP I-NP I-PER
, , O O
who WP B-NP O
lived VBD B-VP O
with IN B-PP O
him PRP B-NP O
from IN B-PP O
1966 CD B-NP O
to TO B-PP O
1969 CD B-NP O
. . O O

They PRP B-NP O
included VBD B-VP O
a DT B-NP O
black JJ I-NP O
lacquer NN I-NP O
and CC I-NP O
mother NN I-NP O
of IN B-PP O
pearl NN B-NP O
inlaid VBD B-VP O
box NN B-NP O
used VBN B-VP O
by IN B-PP O
Hendrix NNP B-NP B-PER
to TO B-VP O
store VB I-VP O
his PRP$ B-NP O
drugs NNS I-NP O
, , O O
which WDT B-NP O
an DT B-NP O
anonymous JJ I-NP O
Australian JJ I-NP B-MISC
purchaser NN I-NP O
bought VBD B-VP O
for IN B-PP O
5,060 CD B-NP O
pounds NNS I-NP O
( ( O O
$ $ B-NP O
7,845 CD I-NP O
) ) O O
. . O O

The DT B-NP O
guitarist NN I-NP O
died VBD B-VP O
of IN B-PP O
a DT B-NP O
drugs NNS I-NP O
overdose NN I-NP O
in IN B-PP O
1970 CD B-NP O
aged VBN B-ADJP O
27 CD B-NP O
. . O O

-DOCSTART- -X- -X- O

China NNP B-NP B-LOC
says VBZ B-VP O
Taiwan NNP B-NP B-LOC
spoils VBZ B-VP O
atmosphere NN B-NP O
for IN B-PP O
talks NNS B-NP O
. . O O

BEIJING VBG B-VP B-LOC
1996-08-22 CD B-NP O

China NNP B-NP B-LOC
on IN B-PP O
Thursday NNP B-NP O
accused VBD B-VP O
Taipei NNP B-NP B-LOC
of IN B-PP O
spoiling VBG B-VP O
the DT B-NP O
atmosphere NN I-NP O
for IN B-PP O
a DT B-NP O
resumption NN I-NP O
of IN B-PP O
talks NNS B-NP O
across IN B-PP O
the DT B-NP O
Taiwan NNP I-NP B-LOC
Strait NNP I-NP I-LOC
with IN B-PP O
a DT B-NP O
visit NN I-NP O
to TO B-PP O
Ukraine NNP B-NP B-LOC
by IN B-PP O
Taiwanese NNP B-NP B-MISC
Vice NNP I-NP O
President NNP I-NP O
Lien NNP I-NP B-PER
Chan NNP I-NP I-PER
this DT B-NP O
week NN I-NP O
that WDT B-NP O
infuriated VBD B-VP O
Beijing NNP B-NP B-LOC
. . O O

Speaking VBG B-VP O
only JJ B-ADVP O
hours NNS B-NP O
after IN B-PP O
Chinese JJ B-NP B-MISC
state NN I-NP O
media NNS I-NP O
said VBD B-VP O
the DT B-NP O
time NN I-NP O
was VBD B-VP O
right RB B-ADJP O
to TO B-VP O
engage VB I-VP O
in IN B-PP O
political JJ B-NP O
talks NNS I-NP O
with IN B-PP O
Taiwan NNP B-NP B-LOC
, , O O
Foreign NNP B-NP B-ORG
Ministry NNP I-NP I-ORG
spokesman NN I-NP O
Shen NNP I-NP B-PER
Guofang NNP I-NP I-PER
told VBD B-VP O
Reuters NNP B-NP B-ORG
: : O O
" " O O
The DT B-NP O
necessary JJ I-NP O
atmosphere NN I-NP O
for IN B-PP O
the DT B-NP O
opening NN I-NP O
of IN B-PP O
the DT B-NP O
talks NNS I-NP O
has VBZ B-VP O
been VBN I-VP O
disrupted VBN I-VP O
by IN B-PP O
the DT B-NP O
Taiwan NNP I-NP B-LOC
authorities NNS I-NP O
. . O O
" " O O

State NN B-NP O
media NNS I-NP O
quoted VBD B-VP O
China NNP B-NP B-LOC
's POS B-NP O
top JJ I-NP O
negotiator NN I-NP O
with IN B-PP O
Taipei NNP B-NP B-LOC
, , O O
Tang NNP B-NP B-PER
Shubei NNP I-NP I-PER
, , O O
as IN B-PP O
telling VBG B-VP O
a DT B-NP O
visiting JJ I-NP O
group NN I-NP O
from IN B-PP O
Taiwan NNP B-NP B-LOC
on IN B-PP O
Wednesday NNP B-NP O
that IN B-SBAR O
it PRP B-NP O
was VBD B-VP O
time NN B-NP O
for IN B-PP O
the DT B-NP O
rivals NNS I-NP O
to TO B-VP O
hold VB I-VP O
political JJ B-NP O
talks NNS I-NP O
. . O O

" " O O
Now RB B-ADVP O
is VBZ B-VP O
the DT B-NP O
time NN I-NP O
for IN B-PP O
the DT B-NP O
two CD I-NP O
sides NNS I-NP O
to TO B-VP O
engage VB I-VP O
in IN B-PP O
political JJ B-NP O
talks NNS I-NP O
... : O O

that WDT B-NP O
is VBZ B-VP O
to TO B-VP O
end VB I-VP O
the DT B-NP O
state NN I-NP O
of IN B-PP O
hostility NN B-NP O
, , O O
" " O O
Thursday NNP B-NP O
's POS B-NP O
overseas JJ I-NP O
edition NN I-NP O
of IN B-PP O
the DT B-NP O
People NNPS I-NP B-ORG
's POS B-NP I-ORG
Daily JJ I-NP I-ORG
quoted VBN B-VP O
Tang NNP B-NP B-PER
as IN B-PP O
saying VBG B-VP O
. . O O

The DT B-NP O
foreign JJ I-NP O
ministry NN I-NP O
's POS B-NP O
Shen NNP I-NP B-ORG
told VBD B-VP O
Reuters NNP B-NP B-ORG
Television NNP I-NP I-ORG
in IN B-PP O
an DT B-NP O
interview NN I-NP O
he PRP B-NP O
had VBD B-VP O
read VBN I-VP O
reports NNS B-NP O
of IN B-PP O
Tang NNP B-NP B-PER
's POS B-NP O
comments NNS I-NP O
but CC O O
gave VBD B-VP O
no DT B-NP O
details NNS I-NP O
of IN B-PP O
why WRB B-ADVP O
the DT B-NP O
negotiator NN I-NP O
had VBD B-VP O
considered VBN I-VP O
the DT B-NP O
time NN I-NP O
right RB B-ADVP O
for IN B-PP O
talks NNS B-NP O
with IN B-PP O
Taiwan NNP B-NP B-LOC
, , O O
which WDT B-NP O
Beijing NNP B-NP B-LOC
considers VBZ B-VP O
a DT B-NP O
renegade NN I-NP O
province NN I-NP O
. . O O

China NNP B-NP B-LOC
, , O O
which WDT B-NP O
has VBZ B-VP O
long RB I-VP O
opposed VBN I-VP O
all DT B-NP O
Taipei NNP I-NP B-LOC
efforts NNS I-NP O
to TO B-VP O
gain VB I-VP O
greater JJR B-NP O
international JJ I-NP O
recognition NN I-NP O
, , O O
was VBD B-VP O
infuriated VBN I-VP O
by IN B-PP O
a DT B-NP O
visit NN I-NP O
to TO B-PP O
Ukraine NNP B-NP B-LOC
this DT B-NP O
week NN I-NP O
by IN B-PP O
Taiwanese NNP B-NP B-MISC
Vice NNP I-NP O
President NNP I-NP O
Lien NNP I-NP B-PER
. . O O

